Archive_Date,Specialty_HIPE,Specialty_Name,Case_Type,Adult_Child,Age_Profile,Time_Bands,Total,Did
31-01-2018,0,Small Volume Specialities,Inpatient,Child,0-15,  6-9 Months,1,30MH
31-01-2018,0,Small Volume Specialities,Inpatient,Child,16-64,  9-12 Months,1,8MH
31-01-2018,400,Endocrinology,Day Case,Child,0-15,  3-6 Months,1,10MH
31-01-2018,400,Endocrinology,Day Case,Child,0-15, 12-15 Months,1,12MH
31-01-2018,600,Otolaryngology (ENT),Day Case,Child,0-15,  0-3 Months,14,1MH
31-01-2018,600,Otolaryngology (ENT),Day Case,Child,0-15,  3-6 Months,2,22MH
31-01-2018,600,Otolaryngology (ENT),Day Case,Child,0-15,  6-9 Months,1,6MH
31-01-2018,600,Otolaryngology (ENT),Day Case,Child,0-15,  9-12 Months,2,9MH
31-01-2018,600,Otolaryngology (ENT),Day Case,Child,0-15, 12-15 Months,2,18MH
31-01-2018,600,Otolaryngology (ENT),Inpatient,Child,0-15,  0-3 Months,25,3MH
31-01-2018,600,Otolaryngology (ENT),Inpatient,Child,0-15,  3-6 Months,12,6MH
31-01-2018,600,Otolaryngology (ENT),Inpatient,Child,0-15,  6-9 Months,5,30MH
31-01-2018,600,Otolaryngology (ENT),Inpatient,Child,0-15,  9-12 Months,2,13MH
31-01-2018,600,Otolaryngology (ENT),Inpatient,Child,16-64,  0-3 Months,1,3MH
31-01-2018,1300,Neurology,Day Case,Child,0-15, 15-18 Months,1,31MH
31-01-2018,1300,Neurology,Inpatient,Child,0-15,  0-3 Months,1,5MH
31-01-2018,1300,Neurology,Inpatient,Child,0-15,  3-6 Months,1,15MH
31-01-2018,1300,Neurology,Inpatient,Child,0-15,  6-9 Months,1,13MH
31-01-2018,1400,Neurosurgery,Day Case,Child,0-15,  0-3 Months,1,15MH
31-01-2018,1400,Neurosurgery,Inpatient,Child,0-15,  0-3 Months,2,7MH
31-01-2018,1400,Neurosurgery,Inpatient,Child,0-15,  3-6 Months,1,10MH
31-01-2018,1700,Ophthalmology,Day Case,Child,0-15,  0-3 Months,30,10MH
31-01-2018,1700,Ophthalmology,Day Case,Child,0-15,  3-6 Months,21,27MH
31-01-2018,1700,Ophthalmology,Day Case,Child,0-15,  6-9 Months,5,30MH
31-01-2018,1700,Ophthalmology,Day Case,Child,0-15,  9-12 Months,7,7MH
31-01-2018,1700,Ophthalmology,Day Case,Child,0-15, 12-15 Months,3,22MH
31-01-2018,1700,Ophthalmology,Day Case,Child,0-15, 15-18 Months,2,23MH
31-01-2018,1700,Ophthalmology,Inpatient,Child,0-15,  0-3 Months,2,35MH
31-01-2018,1700,Ophthalmology,Inpatient,Child,0-15,  3-6 Months,2,13MH
31-01-2018,1700,Ophthalmology,Inpatient,Child,0-15,  9-12 Months,1,9MH
31-01-2018,1700,Ophthalmology,Inpatient,Child,0-15, 12-15 Months,1,16MH
31-01-2018,1700,Ophthalmology,Inpatient,Child,0-15, 15-18 Months,1,20MH
31-01-2018,1800,Orthopaedics,Day Case,Child,0-15,  0-3 Months,36,8MH
31-01-2018,1800,Orthopaedics,Day Case,Child,0-15,  3-6 Months,40,36MH
31-01-2018,1800,Orthopaedics,Day Case,Child,0-15,  6-9 Months,20,8MH
31-01-2018,1800,Orthopaedics,Day Case,Child,0-15,  9-12 Months,15,11MH
31-01-2018,1800,Orthopaedics,Day Case,Child,0-15, 12-15 Months,16,35MH
31-01-2018,1800,Orthopaedics,Day Case,Child,0-15, 15-18 Months,16,15MH
31-01-2018,1800,Orthopaedics,Day Case,Child,0-15,18+ Months,2,20MH
31-01-2018,1800,Orthopaedics,Day Case,Child,16-64,  0-3 Months,4,30MH
31-01-2018,1800,Orthopaedics,Day Case,Child,16-64,  3-6 Months,4,29MH
31-01-2018,1800,Orthopaedics,Day Case,Child,16-64,  6-9 Months,4,13MH
31-01-2018,1800,Orthopaedics,Day Case,Child,16-64,  9-12 Months,3,29MH
31-01-2018,1800,Orthopaedics,Day Case,Child,16-64, 15-18 Months,3,13MH
31-01-2018,1800,Orthopaedics,Day Case,Child,16-64,18+ Months,2,21MH
31-01-2018,1800,Orthopaedics,Inpatient,Child,0-15,  0-3 Months,45,6MH
31-01-2018,1800,Orthopaedics,Inpatient,Child,0-15,  3-6 Months,48,10MH
31-01-2018,1800,Orthopaedics,Inpatient,Child,0-15,  6-9 Months,25,33MH
31-01-2018,1800,Orthopaedics,Inpatient,Child,0-15,  9-12 Months,43,26MH
31-01-2018,1800,Orthopaedics,Inpatient,Child,0-15, 12-15 Months,36,14MH
31-01-2018,1800,Orthopaedics,Inpatient,Child,0-15, 15-18 Months,13,3MH
31-01-2018,1800,Orthopaedics,Inpatient,Child,0-15,18+ Months,5,21MH
31-01-2018,1800,Orthopaedics,Inpatient,Child,16-64,  0-3 Months,2,14MH
31-01-2018,1800,Orthopaedics,Inpatient,Child,16-64,  3-6 Months,2,31MH
31-01-2018,1800,Orthopaedics,Inpatient,Child,16-64,  6-9 Months,3,35MH
31-01-2018,1800,Orthopaedics,Inpatient,Child,16-64,  9-12 Months,1,19MH
31-01-2018,1800,Orthopaedics,Inpatient,Child,16-64, 12-15 Months,2,22MH
31-01-2018,1800,Orthopaedics,Inpatient,Child,16-64, 15-18 Months,1,27MH
31-01-2018,1800,Orthopaedics,Inpatient,Child,16-64,18+ Months,3,18MH
31-01-2018,1900,Paediatrics,Day Case,Child,0-15,  0-3 Months,1,34MH
31-01-2018,1900,Paediatrics,Day Case,Child,16-64, 15-18 Months,1,35MH
31-01-2018,1900,Paediatrics,Inpatient,Child,0-15,  0-3 Months,1,26MH
31-01-2018,1900,Paediatrics,Inpatient,Child,0-15,  3-6 Months,1,16MH
31-01-2018,1900,Paediatrics,Inpatient,Child,0-15,  9-12 Months,1,24MH
31-01-2018,1904,Neonatology,Inpatient,Child,0-15,  0-3 Months,1,36MH
31-01-2018,1904,Neonatology,Inpatient,Child,0-15,  9-12 Months,1,34MH
31-01-2018,1912,Paediatric Respiratory Medicine,Inpatient,Child,16-64,  0-3 Months,1,27MH
